FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,9E,ORF,1240,1232,-8,1357,-22,85,386
1/1/2018,9E,DFW,1330,1354,24,1519,24,85,292
1/1/2018,9E,STL,600,553,-7,835,-10,102,503
1/1/2018,9E,MIA,1208,1216,8,1313,7,57,152
1/1/2018,9E,TLH,1330,1321,-9,1447,7,86,152
1/1/2018,9E,ORD,1730,1734,4,1819,-10,45,152
1/1/2018,9E,MLI,2031,2024,-7,2126,-9,62,208
1/1/2018,9E,ORD,1200,1158,-2,1436,44,158,537
1/1/2018,9E,MIA,1300,1250,-10,1357,-23,67,238
1/1/2018,9E,TLH,555,610,15,912,8,122,565
1/1/2018,9E,ORD,1500,1511,11,1725,2,74,302
1/1/2018,9E,TUL,820,815,-5,926,-14,71,300
1/1/2018,9E,ABQ,1005,955,-10,1224,54,149,300
1/1/2018,9E,ORD,1710,1811,61,1828,54,77,302
1/1/2018,9E,ORD,1005,1051,46,1239,27,108,461
1/1/2018,9E,AEX,1900,1854,-6,2118,-7,144,961
1/1/2018,9E,CHO,1347,1349,2,1437,-9,48,145
1/1/2018,9E,ORD,1110,1108,-2,1207,-13,59,238
1/1/2018,9E,ORD,1725,1723,-2,1826,-5,63,94
1/1/2018,9E,SDF,1840,1835,-5,1937,-21,62,184
1/1/2018,9E,ALB,1610,1614,4,1724,-10,70,377
1/1/2018,9E,FLL,836,830,-6,938,-10,68,152
1/1/2018,9E,PHL,855,850,-5,943,-15,53,164
1/1/2018,9E,FLL,1042,1108,26,1209,19,61,164
1/1/2018,9E,PHL,1217,1248,31,1501,86,133,331
1/1/2018,9E,BOS,1400,1530,90,1654,75,84,331
1/1/2018,9E,BOS,545,629,44,925,25,176,961
1/1/2018,9E,BWI,600,554,-6,826,-24,92,500
1/1/2018,9E,BOS,2220,2210,-10,2320,-16,70,300
1/1/2018,9E,MYR,1535,1540,5,1713,-14,93,508
1/1/2018,9E,BWI,812,804,-8,1003,-26,119,833
1/1/2018,9E,LAS,1346,1350,4,1639,-12,109,689
1/1/2018,9E,SEA,1424,1503,39,1732,23,89,500
1/1/2018,9E,CLE,1309,1404,55,1442,43,98,500
1/1/2018,9E,LAS,1530,1537,7,1558,-11,81,346
1/1/2018,9E,SAN,600,557,-3,1009,1,192,1123
1/1/2018,9E,DTW,1455,1457,2,1547,-5,50,152
1/1/2018,9E,LAS,1627,1624,-3,1717,-20,53,152
1/1/2018,9E,MSY,1255,1248,-7,1644,-6,176,1149
1/1/2018,9E,EWR,1620,1625,5,1719,-7,54,192
1/1/2018,9E,ORD,600,549,-11,703,-21,74,300
1/1/2018,9E,PHX,1130,1130,"
",1512,-4,162,1107
1/1/2018,9E,DTW,830,1224,234,1501,216,97,533
1/1/2018,9E,MCO,700,653,-7,909,18,136,433
1/1/2018,9E,ORD,945,936,-9,1033,-21,57,152
1/1/2018,9E,RSW,710,659,-11,918,-18,79,302
1/1/2018,9E,FLL,830,828,-2,935,-26,67,332
1/1/2018,9E,MYR,1205,1211,6,1250,-4,39,106
1/1/2018,9E,LAX,1319,1317,-2,1415,-5,58,106
1/1/2018,9E,MCO,1050,1232,102,1403,139,91,83
1/1/2018,9E,MSP,1400,1652,172,1816,179,84,192
1/1/2018,9E,MCO,940,949,9,1118,-6,89,296
1/1/2018,9E,BWI,1535,1607,32,1734,14,87,292
1/1/2018,9E,ATL,830,857,27,1038,24,101,383
1/1/2018,9E,BOS,1345,1409,24,1537,22,88,258
1/1/2018,9E,BOS,1352,1350,-2,1650,-24,120,765
1/1/2018,9E,ACY,1008,952,-16,1129,-23,97,377
1/1/2018,9E,PBI,900,856,-4,1027,4,91,296
